Skill,Length,UpPercent,Slope,1,2,3,4
Good,30,0,Medium,14,101,144,192
Good,30,0,High,13,97,138,184
Good,30,2,Low,15,108,155,206
Good,30,2,Medium,14,104,149,198
Good,30,2,High,13,100,143,190
Good,30,5,Low,15,111,160,212
Good,30,5,Medium,14,107,154,204
Good,30,5,High,13,103,148,196
Good,30,10,Low,15,114,165,218
Good,30,10,Medium,14,109,158,209
Good,30,10,High,13,105,152,201
Good,40,-10,Low,10,86,129,172
Good,40,-10,Medium,10,83,124,165
Good,40,-10,High,10,80,119,158
Good,40,-5,Low,10,90,136,181
Good,40,-5,Medium,10,86,131,174
Good,40,-5,High,10,83,126,167
Good,40,-2,Low,10,95,143,190
Good,40,-2,Medium,10,91,137,182
Good,40,-2,High,10,87,132,175
Good,40,0,Low,10,100,150,200
Good,40,0,Medium,10,96,144,192
Good,40,0,High,10,92,138,184
Good,40,2,Low,10,103,155,206
Good,40,2,Medium,10,99,149,198
Good,40,2,High,10,95,143,190
Good,40,5,Low,10,106,160,212
Good,40,5,Medium,10,102,154,204
Good,40,5,High,10,98,148,196
Good,40,10,Low,10,109,165,218
Good,40,10,Medium,10,105,158,209
Good,40,10,High,10,101,152,201
Good,60,-10,Low,7,73,129,172
Good,60,-10,Medium,7,70,124,165
Good,60,-10,High,7,67,119,158
Good,60,-5,Low,7,77,136,181
Good,60,-5,Medium,7,74,131,174
Good,60,-5,High,7,71,126,167
Good,60,-2,Low,7,81,143,190
Good,60,-2,Medium,7,78,137,182
Good,60,-2,High,7,75,132,175
Good,60,0,Low,7,85,150,200
Good,60,0,Medium,7,82,144,192
Good,60,0,High,7,79,138,184
Good,60,2,Low,7,88,155,206
Good,60,2,Medium,7,84,149,198
Good,60,2,High,7,81,143,190
Good,60,5,Low,7,91,160,212
Good,60,5,Medium,7,87,154,204
Good,60,5,High,7,84,148,196
Good,60,10,Low,7,94,165,218
Good,60,10,Medium,7,90,158,209
Good,60,10,High,7,86,152,201
Good,80,-10,Low,5,73,129,172
Good,80,-10,Medium,5,70,124,165
Good,80,-10,High,5,67,119,158
Good,80,-5,Low,5,77,136,181
Good,80,-5,Medium,5,74,131,174
Good,80,-5,High,5,71,126,167
Good,80,-2,Low,5,81,143,190
Good,80,-2,Medium,5,78,137,182
Good,80,-2,High,5,75,132,175
Good,80,0,Low,5,85,150,200
Good,80,0,Medium,5,82,144,192
Good,80,0,High,5,79,138,184
Good,80,2,Low,5,88,155,206
Good,80,2,Medium,5,84,149,198
Good,80,2,High,5,81,143,190
Good,80,5,Low,5,91,160,212
Good,80,5,Medium,5,87,154,204
Good,80,5,High,5,84,148,196
Good,80,10,Low,5,94,165,218
Good,80,10,Medium,5,90,158,209
Good,80,10,High,5,86,152,201
Good,100,-10,Low,5,73,129,172
Good,100,-10,Medium,5,70,124,165
Good,100,-10,High,5,67,119,158
Good,100,-5,Low,5,77,136,181
Good,100,-5,Medium,5,74,131,174
Good,100,-5,High,5,71,126,167
Good,100,-2,Low,5,81,143,190
Good,100,-2,Medium,5,78,137,182
Good,100,-2,High,5,75,132,175
Good,100,0,Low,5,85,150,200
Good,100,0,Medium,5,82,144,192
Good,100,0,High,5,79,138,184
Good,100,2,Low,5,88,155,206
Good,100,2,Medium,5,84,149,198
Good,100,2,High,5,81,143,190
Good,100,5,Low,5,91,160,212
Good,100,5,Medium,5,87,154,204
Good,100,5,High,5,84,148,196
Good,100,10,Low,5,94,165,218
Good,100,10,Medium,5,90,158,209
Good,100,10,High,5,86,152,201
Good,150,-10,Low,5,73,78,172
Good,150,-10,Medium,5,70,75,165
Good,150,-10,High,5,67,72,158
Good,150,-5,Low,5,77,82,181
Good,150,-5,Medium,5,74,79,174
Good,150,-5,High,5,71,76,167
Good,150,-2,Low,5,81,86,190
Good,150,-2,Medium,5,78,83,182
Good,150,-2,High,5,75,80,175
Good,150,0,Low,5,85,90,200
Good,150,0,Medium,5,82,86,192
Good,150,0,High,5,79,83,184
Good,150,2,Low,5,88,93,206
Good,150,2,Medium,5,84,89,198
Good,150,2,High,5,81,85,190
Good,150,5,Low,5,91,96,212
Good,150,5,Medium,5,87,92,204
Good,150,5,High,5,84,88,196
Good,150,10,Low,5,94,99,218
Good,150,10,Medium,5,90,95,209
Good,150,10,High,5,86,91,201
Good,200,-10,Low,1,44,64,172
Good,200,-10,Medium,1,42,61,165
Good,200,-10,High,1,40,59,158
Good,200,-5,Low,1,46,67,181
Good,200,-5,Medium,1,44,64,174
Good,200,-5,High,1,42,61,167
Good,200,-2,Low,1,48,71,190
Good,200,-2,Medium,1,46,68,182
Good,200,-2,High,1,44,65,175
Good,200,0,Low,1,50,75,200
Good,200,0,Medium,1,48,72,192
Good,200,0,High,1,46,69,184
Good,200,2,Low,1,52,77,206
Good,200,2,Medium,1,50,74,198
Good,200,2,High,1,48,71,190
Good,200,5,Low,1,54,79,212
Good,200,5,Medium,1,52,76,204
Good,200,5,High,1,50,73,196
Good,200,10,Low,1,56,81,218
Good,200,10,Medium,1,54,78,209
Good,200,10,High,1,52,75,201
Ok,3,-10,Low,81.7,119.7,153.9,223.25
Ok,3,-10,Medium,78,115,148,214
Ok,3,-10,High,75,110,142,205
Ok,3,-5,Low,86,126,162,235
Ok,3,-5,Medium,83,121,156,226
Ok,3,-5,High,80,116,150,217
Ok,3,-2,Low,90,133,171,247
Ok,3,-2,Medium,86,128,164,237
Ok,3,-2,High,83,123,157,228
Ok,3,0,Low,95,140,180,260
Ok,3,0,Medium,91,134,173,250
Ok,3,0,High,87,129,166,240
Ok,3,2,Low,98,144,185,268
Ok,3,2,Medium,94,138,178,257
Ok,3,2,High,90,132,171,247
Ok,3,5,Low,101,148,191,276
Ok,3,5,Medium,97,142,183,265
Ok,3,5,High,93,136,176,254
Ok,3,10,Low,104,152,197,284
Ok,3,10,Medium,100,146,189,273
Ok,3,10,High,96,140,181,262
Ok,4,-10,Low,73,103,129,172
Ok,4,-10,Medium,70,99,124,165
Ok,4,-10,High,67,95,119,158
Ok,4,-5,Low,77,108,136,181
Ok,4,-5,Medium,74,104,131,174
Ok,4,-5,High,71,100,126,167
Ok,4,-2,Low,81,114,143,190
Ok,4,-2,Medium,78,109,137,182
Ok,4,-2,High,75,105,132,175
Ok,4,0,Low,85,120,150,200
Ok,4,0,Medium,82,115,144,192
Ok,4,0,High,79,110,138,184
